ticket_id,model,category,priority_reason,priority,sentiment,confidence,kb_article,reply,needs_human,latency_s,input_tokens,output_tokens,thinking_tokens,schema_errors,error
T011,Gemini 3.5 Flash-Lite,CANCEL,"Any question about cancellation, exit or early-termination fees is High priority.",H,neutral,high,KB06,Cancelling an annual plan before the end of the 12-month term incurs an early exit fee equal to 2 months of your plan's price. You can see the exact early exit fee in Settings -> Billing -> Cancel subscription before you confirm. Nothing is charged until you confirm.,True,5.87,2647,128,0,,
T012,Gemini 3.5 Flash-Lite,FEEDBACK,Leaving a review or positive feedback is a Low priority information or courtesy request.,L,neutral,high,KB08,"You can leave a review or product feedback by using Help > Give feedback in the app, or by visiting the feedback form at nimbuscrm.example/feedback. Your feedback will go directly to our product team!",False,4.31,2646,114,0,,
T013,Gemini 3.5 Flash-Lite,CANCEL,"Any question about cancellation, exit or early-termination fees is classified as High priority.",H,neutral,high,KB06,"For monthly plans, there is no cancellation fee and you can cancel anytime in Settings → Billing → Cancel subscription. For annual plans, cancelling before the 12-month term incurs an early exit fee equal to 2 months of your plan's price. The exact early exit fee for your account is shown in Settings → Billing → Cancel subscription before you confirm, and nothing is charged until you confirm.",True,2.79,2644,179,0,,
T014,Gemini 3.5 Flash-Lite,PAYMENT,Payment failing is a high priority because money is at risk and the customer is blocked.,H,neutral,high,KB03,"I am sorry to hear you are experiencing payment issues. Common causes include an expired card, insufficient funds, or your bank blocking an international charge. Please update your payment method or contact your bank, then click Retry payment in Settings → Billing. If the problem persists, let us know and a specialist will help investigate.",True,2.66,2644,147,0,,
T015,Gemini 3.5 Flash-Lite,PAYMENT,Information or courtesy request with no action needed urgently.,L,neutral,high,KB03,"Hello! We accept Visa, Mastercard, American Express, and PayPal for all plans. Bank transfer (wire/ACH) is available only on annual plans of $5,000 or more. You can update or check your payment method anytime in Settings > Billing > Payment method.",False,2.14,2650,122,0,,
T016,Gemini 3.5 Flash-Lite,CANCEL,"Any question about cancellation, exit or early-termination fees is classified as High priority.",H,neutral,high,KB06,"Hello. The exact early exit fee for an annual plan is shown in Settings -> Billing -> Cancel subscription before you confirm. Nothing is charged until you confirm. If you need further assistance, please let us know.",True,90.74,2647,113,0,,
T017,Gemini 3.5 Flash-Lite,NEWSLETTER,"Newsletter subscription is an information or courtesy request with no urgent action needed, so it is Low priority.",L,neutral,high,KB05,You can sign up for the monthly Nimbus newsletter at nimbuscrm.example/newsletter or in Settings > Notifications > Newsletter.,False,5.54,2645,102,0,,
T018,Gemini 3.5 Flash-Lite,CONTACT,"Customer is asking about support hours, which falls under the Medium priority rule for getting help or reaching a human agent.",M,neutral,high,KB07,"Live chat and phone support are available Monday through Friday, 8:00 to 20:00 (GMT). Email support at support@nimbuscrm.example is answered 24/7.",False,1.57,2649,122,0,,
T019,Gemini 3.5 Flash-Lite,INVOICE,"Customer needs to get an invoice, which is a medium priority task where no money is at risk.",M,neutral,high,KB02,"Admins and billing contacts can view and download every invoice as a PDF by going to Settings -> Billing -> Invoices. You can search by invoice number, such as #12588. If you cannot see the invoice, please ask your workspace admin to add you as a billing contact.",False,1.72,2649,136,0,,
T020,Gemini 3.5 Flash-Lite,ACCOUNT,"Customer needs to create an account, which is a standard account management request.",M,neutral,high,KB01,"To create a workspace for your wife, please visit nimbuscrm.example/signup to set up a separate workspace. Each user needs their own email address, and accounts can be added to any paid plan including Gold.",False,1.57,2643,114,0,,
T021,Gemini 3.5 Flash-Lite,CANCEL,"Any question about cancellation, exit or early-termination fees is classified as High priority.",H,neutral,high,KB06,"Monthly plans have no cancellation fee and can be cancelled anytime in Settings > Billing > Cancel subscription. For annual plans, cancelling before the end of the 12-month term incurs an early exit fee equal to 2 months of your plan's price. The exact early exit fee is shown in Settings > Billing > Cancel subscription before you confirm.",True,1.58,2640,141,0,,
T022,Gemini 3.5 Flash-Lite,PAYMENT,Customer is reporting a payment failure or problem.,H,neutral,high,KB03,"Common causes for payment failures are an expired card, insufficient funds, or your bank blocking an international charge. Please update your card or contact your bank, then click Retry payment in Settings > Billing. If you were charged twice or the wrong amount, please contact support with your invoice number so we can investigate within 2 business days.",True,1.53,2645,130,0,,
T023,Gemini 3.5 Flash-Lite,REFUND,Refund policy question fits the Medium priority definition.,M,neutral,high,KB04,"Hello! Monthly plans can be refunded in full within 14 days of the charge. Annual plans can be refunded in full within 30 days of purchase, but are not refundable after 30 days. You can request a refund in Settings > Billing > Invoices > Request refund next to the relevant invoice, or by contacting support with your invoice number.",False,1.71,2644,144,0,,
T024,Gemini 3.5 Flash-Lite,NEWSLETTER,Information or courtesy request; no action needed urgently.,L,neutral,high,KB05,"You can unsubscribe by clicking the Unsubscribe link at the bottom of any newsletter email, or by turning it off in Settings > Notifications > Newsletter. Changes will take effect within 48 hours.",False,1.61,2647,111,0,,
T025,Gemini 3.5 Flash-Lite,CONTACT,"Customer is asking for human support hours, which is classified as Medium priority.",M,neutral,high,KB07,"Live chat and phone support are available Monday through Friday from 8:00 to 20:00 (GMT). Email support at support@nimbuscrm.example is answered 24/7. During live hours, you can also open the chat widget in the app and type 'agent' to reach a human.",False,1.78,2646,138,0,,
T026,Gemini 3.5 Flash-Lite,REFUND,Refund status inquiry where nothing is indicated as wrong.,M,neutral,high,KB04,"Approved refunds are processed within 5 business days and then take 5–10 business days to appear, depending on your bank. You can view your refund status next to the invoice in Settings > Billing > Invoices. If your refund has not arrived 15 business days after approval, please let us know your invoice number so a specialist can look into it for you.",False,1.69,2646,141,0,,
T027,Gemini 3.5 Flash-Lite,CANCEL,Any question about cancellation is classified as High per the explicit priority rules.,H,neutral,high,KB01,"Hello. Only the workspace admin can delete an account in Settings > Workspace > Delete workspace, and deletion is blocked while an annual contract is active. A specialist will follow up with you shortly to assist with your specific Platinum account deletion.",True,1.5,2642,114,0,,
T028,Gemini 3.5 Flash-Lite,INVOICE,"Customer needs to get or check an invoice, which is classified as Medium priority.",M,neutral,high,KB02,You can view and download your invoice as a PDF by going to Settings > Billing > Invoices and searching for invoice #12588. Please note that this is available to workspace admins and billing contacts.,False,1.54,2645,122,0,,
T029,Gemini 3.5 Flash-Lite,FEEDBACK,Any formal complaint or reclamation is classified as High priority.,H,neutral,high,KB08,"To make a formal complaint or submission, you can submit it at nimbuscrm.example/complaints or email complaints@nimbuscrm.example. Every complaint receives a reference number, an acknowledgement within 2 business days, and a written response within 10 business days.",True,1.52,2646,132,0,,
T030,Gemini 3.5 Flash-Lite,ACCOUNT,"Customer needs something done regarding account creation, but is not blocked and nothing is at risk.",M,neutral,high,KB01,"Hello. To create an account for a new user, account admins can go to Settings -> Team -> Invite user. Each user needs their own email address, and new users can be added to any paid plan including Platinum. If you need to create a separate workspace for a different company, you can do so at nimbuscrm.example/signup. Please let us know if you need any further assistance.",False,1.62,2647,154,0,,
T031,Gemini 3.5 Flash-Lite,CANCEL,"Any question about cancellation, exit or early-termination fees is rated High per the rubric.",H,neutral,high,KB06,Hi. You can view the exact early exit fee for your annual plan in Settings > Billing > Cancel subscription before you confirm. Nothing is charged until you confirm.,True,1.69,2646,104,0,,
T032,Gemini 3.5 Flash-Lite,CONTACT,"Customer is asking to get or check how to reach a human agent, which is a medium priority task.",M,neutral,high,KB07,"To reach a human agent during our live hours (Monday–Friday, 8:00–20:00 GMT), please open the chat widget in the bottom-right corner of the app and type 'agent'. If you contact us outside these hours, your message will be converted to an email ticket and answered on the next business day.",False,2.98,2646,163,0,,
T033,Gemini 3.5 Flash-Lite,INVOICE,"Customer needs to view or get an invoice, which is classified as Medium priority.",M,neutral,high,KB02,"Admins and billing contacts can view and download every invoice as a PDF by going to Settings > Billing > Invoices. You can search for bill #85632 using its number or date. If you cannot see the invoice, please ask your workspace admin to add you as a billing contact.",False,1.8,2656,133,0,,
T034,Gemini 3.5 Flash-Lite,ACCOUNT,Downgrade requests are classified as High priority due to revenue at risk.,H,frustrated,high,KB01,"I can certainly help you with that. Workspace admins can downgrade to the Free plan by going to Settings -> Billing -> Change plan. Please note that downgrades take effect at the end of the current billing period, and downgrading to Free removes paid features while keeping your data read-only for 90 days.",True,1.58,2651,134,0,,
T035,Gemini 3.5 Flash-Lite,INVOICE,"Customer needs to check an invoice, which is a medium priority task.",M,neutral,high,KB02,"Admins and billing contacts can view and download every invoice as a PDF by going to Settings -> Billing -> Invoices. You can search by your invoice number, #85632. If you cannot see the invoice, please ask your workspace admin to add you as a billing contact.",False,2.27,2650,129,0,,
T036,Gemini 3.5 Flash-Lite,FEEDBACK,"Profanity alone does not make a ticket high priority, so it remains low priority for leaving feedback.",L,frustrated,high,KB08,"You can leave reviews or product feedback by going to Help -> Give feedback in the app, or by using the feedback form at nimbuscrm.example/feedback.",False,1.51,2647,110,0,,
T037,Gemini 3.5 Flash-Lite,CONTACT,"Customer is asking for a human agent with strong frustration, bumped up one level per the tie-breaker rule.",M,frustrated,high,KB07,"I am sorry to hear that. You can reach a human during our live hours (Monday–Friday, 8:00–20:00 GMT) by opening the chat widget in the bottom-right of the app and typing ""agent"". A specialist will also follow up with you shortly.",False,1.65,2649,139,0,,
T038,Gemini 3.5 Flash-Lite,NEWSLETTER,Information or courtesy request; no action needed urgently.,L,neutral,high,KB05,"To unsubscribe from the monthly Nimbus newsletter, click Unsubscribe at the bottom of any newsletter email, or turn it off in Settings > Notifications > Newsletter. Changes take effect within 48 hours.",False,1.78,2646,104,0,,
T039,Gemini 3.5 Flash-Lite,FEEDBACK,Information or courtesy request; no action needed urgently.,L,neutral,high,KB08,"You can leave a review or product feedback by using Help > Give feedback in the app, or by visiting the feedback form at nimbuscrm.example/feedback.",False,1.56,2647,99,0,,
T040,Gemini 3.5 Flash-Lite,INVOICE,"Customer needs to view an invoice, which is a medium priority task since they are not blocked and nothing is at risk.",M,neutral,high,KB02,"Admins and billing contacts can view and download every invoice as a PDF in Settings > Billing > Invoices. You can search by invoice number, such as #37777. If you cannot see the invoice, please ask your workspace admin to add you as a billing contact.",False,1.57,2647,138,0,,
T041,Gemini 3.5 Flash-Lite,FEEDBACK,Formal complaints are classified as High priority.,H,frustrated,high,KB08,"We are very sorry to hear that you need to make a formal complaint. You can submit your complaint at nimbuscrm.example/complaints or email complaints@nimbuscrm.example. Every complaint receives a reference number, an acknowledgement within 2 business days, and a written response within 10 business days. A specialist will also follow up with you directly.",True,1.69,2647,141,0,,
T042,Gemini 3.5 Flash-Lite,PAYMENT,Payment failing triggers high priority as money is at risk.,H,neutral,high,KB03,"We are sorry to hear you are having trouble with your payment. Common causes include an expired card, insufficient funds, or your bank blocking an international charge. Please update your payment details or contact your bank, then click Retry payment in Settings > Billing. If the issue persists, please let us know your invoice number so we can assist further.",True,1.55,2647,134,0,,
T043,Gemini 3.5 Flash-Lite,NEWSLETTER,Information or courtesy request; no action needed urgently.,L,neutral,high,KB05,"You can sign up for the monthly Nimbus newsletter at nimbuscrm.example/newsletter or in Settings > Notifications > Newsletter. If you ever wish to unsubscribe, you can click Unsubscribe at the bottom of any newsletter email or turn it off in your notification settings.",False,2.13,2643,119,0,,
T044,Gemini 3.5 Flash-Lite,CONTACT,"Customer needs to know support hours, which is a medium priority task since they are not blocked.",M,neutral,high,KB07,"Live chat and phone support are available Monday through Friday, 8:00 to 20:00 (GMT). Email support at support@nimbuscrm.example is answered 24/7.",False,1.72,2649,125,0,,
T045,Gemini 3.5 Flash-Lite,REFUND,Refund status or problems are classified as High priority.,H,neutral,high,KB04,"To request a refund, go to Settings -> Billing -> Invoices and click Request refund next to the relevant invoice, or contact us with your invoice number. Monthly plans can be refunded within 14 days and annual plans within 30 days of purchase. Approved refunds are processed within 5 business days and take 5-10 business days to appear.",True,1.59,2649,138,0,,
T046,Gemini 3.5 Flash-Lite,PAYMENT,"Information or courtesy request; no action needed urgently, placing it in Low priority.",L,neutral,high,KB03,"We accept Visa, Mastercard, American Express, and PayPal for all plans. Bank transfer (wire/ACH) is available only on annual plans of $5,000 or more. We do not accept cheques or cryptocurrency.",False,1.6,2645,124,0,,
T047,Gemini 3.5 Flash-Lite,ACCOUNT,"Customer is asking about sign-up errors, which can block access to the product.",H,neutral,high,KB01,"Most sign-up errors are caused by an email already being registered, or verification emails going to spam. If you checked these and the issue persists, please contact support with a screenshot of the error.",True,2.3,2647,111,0,,
T048,Gemini 3.5 Flash-Lite,REFUND,Refund status or problem is rated High if something is unclear or needs attention.,H,neutral,high,KB04,"Hello. To request a refund, workspace admins can go to Settings -> Billing -> Invoices -> Request refund next to the relevant invoice, or contact support with your invoice number. Monthly plans can be refunded in full within 14 days of the charge, and annual plans within 30 days of purchase. A specialist will follow up if you need further assistance.",True,1.79,2647,143,0,,
T049,Gemini 3.5 Flash-Lite,ACCOUNT,"Customer needs to change account details, which is a medium priority task since they are not blocked.",M,neutral,high,KB01,"Hello. You can update your name, email, and company details by going to Settings > Profile in your account. Please note that email changes require confirmation from both your old and new address.",False,1.81,2642,111,0,,
T050,Gemini 3.5 Flash-Lite,FEEDBACK,Formal complaints are classified as High priority according to the rubric rules.,H,neutral,high,KB08,"Hello. To make a formal complaint, please submit it at nimbuscrm.example/complaints or email complaints@nimbuscrm.example. Every complaint receives a reference number, an acknowledgement within 2 business days, and a written response within 10 business days.",True,1.64,2643,126,0,,
T001,Ministral 14B,PAYMENT,"Strong frustration ('goddamn') bumps priority up one level, capped at H.",H,frustrated,high,KB03,"We accept Visa, Mastercard, American Express, PayPal, and bank transfers for annual plans of $5,000+. Cheques and cryptocurrency are not supported. If you’re having trouble with a payment method, check for an expired card or bank blocks, then retry in **Settings → Billing → Payment method**. A specialist will follow up if needed.",True,3.41,2615,154,0,,
T002,Ministral 14B,PAYMENT,Information request with no urgency or risk.,L,neutral,high,KB03,"Nimbus CRM accepts Visa, Mastercard, American Express, and PayPal for all plans. Bank transfer (wire/ACH) is available only for annual plans of $5,000 or more. Cheques and cryptocurrency are not supported.",False,1.97,2613,119,0,,
T003,Ministral 14B,REFUND,"Customer is asking about refund status, which is a refund problem (H priority per rubric).",H,neutral,high,KB04,"Hi there, I can help check your refund status. Could you share the invoice number so I can look it up? Refunds are processed within 5 business days after approval and take 5–10 business days to reflect in your bank account. If it’s been over 15 business days since approval and you haven’t seen it yet, let me know.",True,2.18,2616,153,0,,
T004,Ministral 14B,CONTACT,"Customer is asking to reach a human agent, which requires immediate routing.",M,neutral,high,KB07,"You can reach a live assistant via the chat widget in the bottom-right corner of the app. Type 'agent' to connect with a human during our live support hours (Monday–Friday, 8:00–20:00 GMT). If you prefer, you can also email us at **support@nimbuscrm.example**, and we’ll respond within 4 business hours for paid plans or 2 business days for the Free plan.",False,2.46,2614,163,0,,
T005,Ministral 14B,NEWSLETTER,No urgency or risk involved; purely informational request.,L,neutral,high,KB05,You can subscribe to the Nimbus CRM monthly newsletter by visiting **nimbuscrm.example/newsletter** or navigating to **Settings → Notifications → Newsletter** in your account. Let us know if you need further assistance!,False,2.7,2611,116,0,,
T006,Ministral 14B,NEWSLETTER,No action needed urgently; information request.,L,neutral,high,KB05,"You can unsubscribe from the Nimbus newsletter by clicking the **Unsubscribe** link at the bottom of any newsletter email, or by turning it off in **Settings → Notifications → Newsletter**. Changes take effect within 48 hours. This won’t affect your account or billing emails.",False,1.7,2619,126,0,,
T007,Ministral 14B,ACCOUNT,Customer is blocked from using the product.,H,neutral,high,KB01,"I’m sorry to hear you’re having trouble signing up. Most issues are caused by an email already registered or the verification email going to spam. Try using **Forgot password** or checking your spam folder. If the problem persists, reply with a screenshot of the error, and we’ll help you resolve it.",True,2.29,2611,129,0,,
T008,Ministral 14B,REFUND,"Refund policy question, no money or churn risk.",M,neutral,high,KB04,"You can request a full refund within **14 days** for monthly plans or **30 days** for annual plans from the charge date. After these periods, refunds are not available except for billing errors (see KB03). Visit **Settings → Billing → Invoices** to request a refund or contact support with the invoice number.",False,2.39,2617,138,0,,
T009,Ministral 14B,INVOICE,Customer needs to view an invoice but is not blocked or at risk.,M,neutral,high,KB02,"To view or download invoice #00108, log in to your Nimbus CRM account and go to **Settings → Billing → Invoices**. You can search by invoice number or date. If you’re not an admin or billing contact, ask your workspace admin to share it with you.",False,2.18,2613,133,0,,
T010,Ministral 14B,CANCEL,"Customer is asking about cancellation or early exit fees, which is a churn signal (explicit rule).",H,neutral,high,KB06,"Your early exit fee for cancelling an annual plan is calculated as 2 months of your plan’s price for all users. This fee applies if you cancel before the end of your 12-month term. You can see the exact amount in **Settings → Billing → Cancel subscription** before confirming. If you’re considering cancellation, you might also explore downgrading or discussing alternatives with your account manager.",True,1.8,2608,161,0,,
T011,Ministral 14B,CANCEL,"Customer is asking about cancellation or early exit fees, which is a churn signal (explicit rule).",H,neutral,high,KB06,You can see the exact early exit fee for your annual plan in **Settings → Billing → Cancel subscription** before confirming. This fee is equal to 2 months of your plan’s price if cancelled before the 12-month term. Let me know if you’d like help reviewing your options.,True,1.74,2614,139,0,,
T012,Ministral 14B,FEEDBACK,No urgency or risk; information request.,L,neutral,high,KB08,"You can leave a review or product feedback directly in the app by navigating to **Help → Give feedback**. Alternatively, you can use the feedback form at [nimbuscrm.example/feedback](nimbuscrm.example/feedback).",False,1.89,2613,114,0,,
T013,Ministral 14B,CANCEL,"Customer is asking about cancellation or early exit fees, which is a churn signal (explicit rule).",H,neutral,high,KB06,"Your early exit fee is calculated as 2 months of your current plan’s price for all users. For example, Platinum users would pay 2 × $60/user/month. This fee applies only if you cancel before the end of your 12-month term. You can see the exact amount in **Settings → Billing → Cancel subscription** before confirming. Would you like help exploring alternatives like downgrading?",True,2.19,2611,164,0,,
T014,Ministral 14B,PAYMENT,Customer is blocked from using the product due to a payment issue.,H,neutral,high,KB03,"I’m sorry to hear about the payment issue. Most failures are caused by an expired card, insufficient funds, or a bank blocking the charge. Please try updating your payment method in **Settings → Billing → Payment method** or contact your bank. If the problem persists, click **Retry payment** in the same section. Your account remains active for 7 days after a failed payment.",True,1.8,2612,149,0,,
T015,Ministral 14B,PAYMENT,No urgency or risk; information request.,L,neutral,high,KB03,"Nimbus CRM accepts Visa, Mastercard, American Express, and PayPal for all plans. Bank transfers (wire/ACH) are available only for annual plans of $5,000 or more. Cheques and cryptocurrency are not supported. You can update your payment method in **Settings → Billing → Payment method**.",False,1.63,2616,129,0,,
T016,Ministral 14B,CANCEL,"Customer is asking about cancellation or early exit fees, which is a churn signal (explicit rule).",H,neutral,high,KB06,The early exit fee for annual plans is shown in **Settings → Billing → Cancel subscription** before you confirm. It equals 2 months of your plan’s price if cancelled before the 12-month term. Monthly plans have no fee. Let me know if you’d like help reviewing your options.,True,2.09,2614,140,0,,
T017,Ministral 14B,NEWSLETTER,No urgency or risk; information request.,L,neutral,high,KB05,You can subscribe to the Nimbus CRM newsletter by visiting [nimbuscrm.example/newsletter](nimbuscrm.example/newsletter) or navigating to **Settings → Notifications → Newsletter** in your account. Let us know if you need further assistance!,False,2.05,2612,120,0,,
T018,Ministral 14B,CONTACT,"Customer is asking for information about support hours, which is a courtesy request with no urgency.",L,neutral,high,KB07,"Live chat and phone support are available Monday–Friday, 8:00–20:00 (GMT). Email support (support@nimbuscrm.example) is answered 24/7, with a first reply within 4 business hours for paid plans and 2 business days for the Free plan.",False,2.2,2616,141,0,,
T019,Ministral 14B,INVOICE,Customer needs to access an invoice but isn't blocked and nothing is at risk.,M,neutral,high,KB02,"You can download invoice #12588 in **Settings → Billing → Invoices**. If you don’t see it, ensure you’re logged in as an admin or billing contact. Admins can add you as a billing contact if needed.",False,1.8,2616,125,0,,
T020,Ministral 14B,ACCOUNT,"Customer is asking to create a new account, which is a common but non-urgent request.",M,neutral,high,KB01,"Your wife can sign up for a **Gold** plan at [nimbuscrm.example/signup](nimbuscrm.example/signup). Each workspace must have its own admin email, and users can be added later in **Settings → Team → Invite user**. If she needs help, she can contact support with any sign-up errors.",False,2.17,2610,146,0,,
T021,Ministral 14B,CANCEL,"Customer is asking about cancellation or early exit fees, which is a churn signal (explicit rule).",H,neutral,high,KB06,"Cancellation fees depend on your plan. Monthly plans have no fee, while annual plans incur an early exit fee of 2 months’ plan cost if cancelled before the 12-month term. You can see the exact fee in **Settings → Billing → Cancel subscription** before confirming. Let me know if you’d like help exploring alternatives like downgrading.",True,2.71,2607,152,0,,
T022,Ministral 14B,PAYMENT,Customer is blocked from using the product due to payment issues.,H,neutral,high,KB03,"I’m sorry to hear about the payment issues. Please check if your card is expired or if there are insufficient funds, then try updating it in **Settings → Billing → Payment method**. If the problem persists, click **Retry payment** in the same section. Your account remains active for 7 days after a failed payment. If you need further help, let me know the error message or share a screenshot.",True,2.48,2612,153,0,,
T023,Ministral 14B,REFUND,"Customer is asking about refund policy, which is a medium-priority inquiry as no money is at risk or blocked.",M,neutral,high,KB04,"Our refund policy allows full refunds for monthly plans within **14 days** of the charge and for annual plans within **30 days** of purchase. After these periods, annual plans are non-refundable. For billing errors, refunds are always issued. Visit **Settings → Billing → Invoices** to request a refund or contact support with the invoice number for further assistance.",False,2.8,2612,159,0,,
T024,Ministral 14B,NEWSLETTER,No urgency or risk; information request.,L,neutral,high,KB05,"You can unsubscribe from the Nimbus newsletter by clicking the **Unsubscribe** link at the bottom of any email, or by turning it off in **Settings → Notifications → Newsletter**. Changes take effect within 48 hours. This won’t affect your account or billing emails.",False,16.72,2614,125,0,,
T025,Ministral 14B,CONTACT,"Customer is seeking information about support availability, which is not urgent but requires clarification.",M,neutral,high,KB07,"Customer support is available via live chat and phone **Monday–Friday, 8:00–20:00 (GMT)**. Email support (support@nimbuscrm.example) is answered 24/7, with a first reply within **4 business hours** for paid plans and **2 business days** for the Free plan. For urgent issues outside live hours, your chat messages will be converted to email tickets and addressed the next business day.",False,2.23,2613,168,0,,
T026,Ministral 14B,REFUND,"Customer is asking about refund status, which is a refund problem (H priority).",H,neutral,high,KB04,"Hi there, you can check your refund status in **Settings → Billing → Invoices** next to the relevant invoice. If the refund hasn’t arrived 15 business days after approval, let me know with the invoice number, and we’ll investigate.",True,2.13,2613,126,0,,
T027,Ministral 14B,ACCOUNT,"Customer is asking about account deletion, which is a churn signal (explicit rule: 'Any question about cancellation, exit or early-termination fees = H').",H,neutral,high,KB01,"I see you’re having trouble deleting your Platinum account. Only the workspace admin can delete it in **Settings → Workspace → Delete workspace**. Deletion is blocked while an annual contract is active. If you’re cancelling, note that Platinum annual plans incur a **2-month early exit fee** (shown before confirmation). Let me know if you’d like help with cancellation or downgrading instead.",True,2.34,2610,170,0,,
T028,Ministral 14B,INVOICE,Customer needs to access an invoice but isn't blocked and nothing is at risk.,M,neutral,high,KB02,"You can download invoice #12588 as a PDF in **Settings → Billing → Invoices**. If you’re not seeing it, ensure you’re logged in as an admin or billing contact. Let me know if you need further help!",False,1.82,2612,125,0,,
T029,Ministral 14B,FEEDBACK,Formal complaint ('file a customer reclamation') is a churn signal per explicit rule.,H,frustrated,high,KB08,"I’m sorry to hear you’d like to file a complaint. You can submit a formal reclamation at **nimbuscrm.example/complaints** or email **complaints@nimbuscrm.example**. Your case will receive a reference number, an acknowledgement within **2 business days**, and a written response within **10 business days**. If you’d like, I can escalate this to our Head of Customer Experience for further review.",True,2.28,2614,169,0,,
T030,Ministral 14B,ACCOUNT,"Customer is blocked from creating a Platinum account for a new user, which may prevent product usage.",H,neutral,high,KB01,"To create a Platinum account for your daughter, you’ll need to add her as a user to your existing workspace. Go to **Settings → Team → Invite user** and enter her email address. If you need a separate workspace for her, she’ll need to sign up at [nimbuscrm.example/signup](nimbuscrm.example/signup) with her own email. Platinum plans require a minimum of $60/user/month. Let me know if you need further guidance!",True,4.14,2614,176,0,,
T031,Ministral 14B,CANCEL,"Customer is asking about cancellation or early exit fees, which is a churn signal (explicit rule).",H,neutral,high,KB06,"The early exit fee for annual plans is **2 months of your plan’s price** (e.g., $50 for Gold or $120 for Platinum) if cancelled before the 12-month term. This fee is shown in **Settings → Billing → Cancel subscription** before confirmation. Monthly plans have no fee. Let me know if you’d like to discuss alternatives like downgrading.",True,2.22,2613,161,0,,
