ticket_id,model,category,priority_reason,priority,sentiment,confidence,kb_article,reply,needs_human,latency_s,input_tokens,output_tokens,thinking_tokens,schema_errors,error
T013,Gemini 3.5 Flash-Lite,CANCEL,"Any question about cancellation, exit or early-termination fees is High priority as a churn signal.",H,neutral,high,KB06,"Hello. For annual plans, cancelling before the end of the 12-month term incurs an early exit fee equal to 2 months of your plan's price. You can view the exact early exit fee in Settings > Billing > Cancel subscription before confirming, and nothing is charged until you confirm.",True,1.93,2951,134,0,,
T014,Gemini 3.5 Flash-Lite,PAYMENT,Payment failing triggers high priority as money is at risk.,H,neutral,high,KB03,"Common causes for payment failures include an expired card, insufficient funds, or your bank blocking an international charge. Please update your payment method or contact your bank, then click Retry payment in Settings > Billing. Your account stays fully active for a 7-day grace period after a failed payment.",True,1.69,2951,124,0,,
T015,Gemini 3.5 Flash-Lite,PAYMENT,Questions about payment methods are low priority per the rubric.,L,neutral,high,KB03,"We accept Visa, Mastercard, American Express, and PayPal for all plans. Bank transfer (wire or ACH) is available on annual plans of $5,000 or more. You can update your payment method anytime in Settings > Billing > Payment method.",False,1.51,2957,118,0,,
T016,Gemini 3.5 Flash-Lite,CANCEL,"Any question about cancellation, exit or early-termination fees is classified as High priority.",H,neutral,high,KB06,Hello! You can see your exact early exit fee in Settings > Billing > Cancel subscription before you confirm. Nothing is charged until you confirm your cancellation.,True,1.67,2954,102,0,,
T017,Gemini 3.5 Flash-Lite,NEWSLETTER,"Newsletter subscription is an information or courtesy request, making it low priority.",L,neutral,high,KB05,You can easily subscribe to the monthly Nimbus newsletter by visiting nimbuscrm.example/newsletter or by going to Settings > Notifications > Newsletter in your account.,False,1.87,2952,102,0,,
T018,Gemini 3.5 Flash-Lite,CONTACT,Questions about when or how support can be reached are classified as Low priority.,L,neutral,high,KB07,Live chat and phone support are available Monday through Friday from 8:00 to 20:00 (GMT). Email support at support@nimbuscrm.example is answered 24/7.,False,1.73,2956,114,0,,
T019,Gemini 3.5 Flash-Lite,INVOICE,"Customer needs to get an invoice, which is a medium priority task since they are not blocked and money is not at risk.",M,neutral,high,KB02,Hello! You can view and download invoice #12588 as a PDF by going to Settings > Billing > Invoices. You can easily search for your invoice there using the invoice number.,False,1.72,2956,121,0,,
T020,Gemini 3.5 Flash-Lite,ACCOUNT,"Customer needs something done, but isn't blocked and nothing is at risk.",M,neutral,high,KB01,"Hello! Account admins can add new users in Settings > Team > Invite user. Each user needs their own email address, and a new user can be added to any paid plan. If you are creating a workspace for a different company, please create a separate workspace at nimbuscrm.example/signup.",False,2.05,2950,132,0,,
T021,Gemini 3.5 Flash-Lite,CANCEL,"Any question about cancellation, exit or early-termination fees is High priority.",H,neutral,high,KB06,"For monthly plans, there is no cancellation fee and you can cancel anytime in Settings > Billing > Cancel subscription. For annual plans, cancelling before the end of the 12-month term incurs an early exit fee equal to 2 months of your plan's price. The exact fee is shown in Settings > Billing > Cancel subscription before you confirm.",True,1.69,2947,140,0,,
T022,Gemini 3.5 Flash-Lite,PAYMENT,Payment failing is a high priority as money is at risk or the customer is blocked.,H,neutral,high,KB03,"Common causes for payment failures include an expired card, insufficient funds, or your bank blocking an international charge. Please update your payment method or contact your bank, then click Retry payment in Settings > Billing. If you continue to experience issues, please reply with your invoice number so a specialist can investigate.",True,2.18,2952,131,0,,
T023,Gemini 3.5 Flash-Lite,REFUND,Refund policy question equals medium priority per the rubric.,M,neutral,high,KB04,"Monthly plans can be refunded in full within 14 days of the charge. Annual plans can be refunded in full within 30 days of purchase, but are not refundable after 30 days. Charges from billing errors are always refunded.",False,1.79,2951,114,0,,
T024,Gemini 3.5 Flash-Lite,NEWSLETTER,Newsletter unsubscribe requests are classified as Low priority.,L,neutral,high,KB05,"You can unsubscribe by clicking Unsubscribe at the bottom of any newsletter email, or by turning it off in Settings > Notifications > Newsletter. Changes take effect within 48 hours.",False,1.75,2954,100,0,,
T025,Gemini 3.5 Flash-Lite,CONTACT,Questions about when or how support can be reached are classified as Low priority.,L,neutral,high,KB07,"Live chat and phone support are available Monday through Friday, 8:00 to 20:00 (GMT). Email support at support@nimbuscrm.example is answered 24/7.",False,1.76,2953,114,0,,
T026,Gemini 3.5 Flash-Lite,REFUND,Refund status inquiry where nothing is noted as wrong is classified as Medium priority.,M,neutral,high,KB04,"Hello. Approved refunds are processed within 5 business days and take 5–10 business days to appear, depending on your bank. You can view the current status next to your invoice in Settings > Billing > Invoices. If your refund has not arrived 15 business days after approval, please let us know with your invoice number and a specialist will assist you further.",False,1.74,2953,146,0,,
T027,Gemini 3.5 Flash-Lite,CANCEL,"Any question about cancellation, exit or early-termination fees or account deletion blocks under annual contracts is classified as High priority.",H,neutral,high,KB06,"Hello. Workspace deletion is blocked while an annual contract is active. You can cancel your annual plan in Settings > Billing > Cancel subscription, though cancelling before the end of the 12-month term incurs an early exit fee equal to 2 months of your plan's price. If you need further assistance with your account, please let us know.",True,2.03,2949,149,0,,
T028,Gemini 3.5 Flash-Lite,INVOICE,"Customer needs to get an invoice, which is a medium priority task without blocking issues.",M,neutral,high,KB02,Admins and billing contacts can view and download every invoice as a PDF in Settings > Billing > Invoices. You can search by the invoice number #12588 there.,False,1.68,2952,117,0,,
T029,Gemini 3.5 Flash-Lite,FEEDBACK,Formal complaints are classified as High priority.,H,neutral,high,KB08,"Hello. To make a formal complaint, please submit it at nimbuscrm.example/complaints or email complaints@nimbuscrm.example. Every complaint receives a reference number, an acknowledgement within 2 business days, and a written response within 10 business days.",True,1.8,2953,128,0,,
T030,Gemini 3.5 Flash-Lite,ACCOUNT,"Customer needs to create an account, which is a standard account management request without blocking issues or churn signals.",M,neutral,high,KB01,"Hello! To create a new workspace and account for your daughter on the Platinum plan, please visit nimbuscrm.example/signup to set up a separate workspace. Each user needs their own email address, and a new user or workspace can be created directly on any paid plan.",False,1.78,2954,132,0,,
T031,Gemini 3.5 Flash-Lite,CANCEL,"Any question about cancellation, exit or early-termination fees is High priority as a churn signal.",H,neutral,high,KB06,You can view the exact early exit fee in Settings -> Billing -> Cancel subscription before you confirm your cancellation. Cancelling an annual plan before the end of the 12-month term incurs an early exit fee equal to 2 months of your plan's price. Nothing is charged until you confirm.,True,1.63,2953,141,0,,
T032,Gemini 3.5 Flash-Lite,CONTACT,"Customer needs to talk to a person, which is a medium priority.",M,neutral,high,KB07,"You can reach a human agent during live hours (Monday-Friday, 8:00-20:00 GMT) by opening the chat widget in the bottom-right of the app and typing ""agent"". Platinum customers can also call their dedicated account manager.",False,1.63,2953,123,0,,
T033,Gemini 3.5 Flash-Lite,INVOICE,"Customer needs something done regarding an invoice, but isn't blocked and nothing is at risk.",M,neutral,high,KB02,"You can view and download your invoice as a PDF by going to Settings > Billing > Invoices and searching for your invoice number, #85632. Please note that only admins and billing contacts can access invoices.",False,2.01,2963,120,0,,
T034,Gemini 3.5 Flash-Lite,ACCOUNT,Downgrade requests are classified as High priority due to revenue at risk.,H,frustrated,high,KB01,"I can certainly help you with that. Workspace admins can downgrade by going to Settings > Billing > Change plan. Please note that downgrades take effect at the end of the current billing period, and moving to the Free plan removes paid features while keeping your data read-only for 90 days. Let us know if you need any further assistance.",True,1.75,2958,140,0,,
T035,Gemini 3.5 Flash-Lite,INVOICE,"Customer needs an invoice, which is a medium priority task.",M,neutral,high,KB02,You can view and download your invoice as a PDF by going to Settings > Billing > Invoices and searching for invoice #85632. Please note that only workspace admins and billing contacts can access invoices.,False,2.16,2957,118,0,,
T036,Gemini 3.5 Flash-Lite,FEEDBACK,Profanity on a low-priority topic bumps the priority up one level from L to M.,M,frustrated,high,KB08,"You can leave product feedback or reviews by going to Help > Give feedback in the app, or by using the feedback form at nimbuscrm.example/feedback. Your feedback goes directly to our product team.",False,1.96,2954,118,0,,
T037,Gemini 3.5 Flash-Lite,CONTACT,"Asking to talk to a person is a medium priority, but frustration bumps it up to high.",H,frustrated,high,KB07,"I am sorry that you feel that way. To reach a human agent during our live hours (Monday through Friday, 8:00 to 20:00 GMT), please open the chat widget in the bottom-right corner of the app and type agent. A specialist will be happy to assist you further.",True,1.81,2956,146,0,,
T038,Gemini 3.5 Flash-Lite,NEWSLETTER,Newsletter unsubscribe requests are low priority informational requests.,L,neutral,high,KB05,"You can easily unsubscribe from the monthly newsletter by clicking Unsubscribe at the bottom of any newsletter email, or by turning it off in Settings > Notifications > Newsletter. Changes will take effect within 48 hours.",False,2.13,2953,106,0,,
T039,Gemini 3.5 Flash-Lite,FEEDBACK,"Leaving a review is an information or courtesy request, making it low priority.",L,neutral,high,KB08,"You can leave product reviews and feedback by going to Help > Give feedback in the app, or by visiting the feedback form at nimbuscrm.example/feedback.",False,1.71,2954,104,0,,
T040,Gemini 3.5 Flash-Lite,INVOICE,"Customer needs to get or check an invoice, which is classified as Medium priority.",M,neutral,high,KB02,Hi there. You can view and download your invoice as a PDF by going to Settings > Billing > Invoices and searching for invoice #37777. Please note that only admins and billing contacts can access invoices.,False,2.19,2954,117,0,,
T041,Gemini 3.5 Flash-Lite,FEEDBACK,Formal complaints are classified as High priority.,H,frustrated,high,KB08,"We are sorry to hear that you need to make a formal complaint. You can submit your complaint at nimbuscrm.example/complaints or email complaints@nimbuscrm.example. Every complaint receives a reference number, an acknowledgement within 2 business days, and a written response within 10 business days.",True,1.7,2954,130,0,,
T042,Gemini 3.5 Flash-Lite,PAYMENT,Payment failing is a high priority as money is at risk and the customer is blocked.,H,neutral,high,KB03,"I am sorry to hear you are having trouble with your payment. Common causes include an expired card, insufficient funds, or your bank blocking an international charge. Please update your card or contact your bank, then click Retry payment in Settings > Billing. If the issue persists, please let us know the details and we will gladly assist.",True,1.7,2954,138,0,,
T043,Gemini 3.5 Flash-Lite,NEWSLETTER,Newsletter subscribe or unsubscribe is a low priority information request.,L,neutral,high,KB05,You can sign up for the monthly Nimbus newsletter at nimbuscrm.example/newsletter or in Settings -> Notifications -> Newsletter. Changes to your subscription take effect within 48 hours.,False,1.66,2950,111,0,,
T044,Gemini 3.5 Flash-Lite,CONTACT,Questions about when or how support can be reached are low priority according to the rules.,L,neutral,high,KB07,"Live chat and phone support are available Monday through Friday, 8:00 to 20:00 (GMT). Outside of these hours, you can reach us via email at support@nimbuscrm.example.",False,1.51,2956,118,0,,
T045,Gemini 3.5 Flash-Lite,REFUND,Asking how to get or request a refund is a Medium priority task.,M,neutral,high,KB04,"Monthly plans can be refunded in full within 14 days of the charge, and annual plans within 30 days of purchase. Admins can request a refund in Settings -> Billing -> Invoices -> Request refund next to the relevant invoice, or by contacting support with your invoice number.",False,1.74,2956,134,0,,
T046,Gemini 3.5 Flash-Lite,PAYMENT,Questions about existing payment methods are classified as Low priority according to the rubric.,L,neutral,high,KB03,"Hello! We accept Visa, Mastercard, American Express, and PayPal for all plans. Bank transfer (wire/ACH) is available only on annual plans of $5,000 or more. We do not accept cheques or cryptocurrency.",False,1.69,2952,118,0,,
T047,Gemini 3.5 Flash-Lite,ACCOUNT,"Customer is blocked from signing up, which is a High priority per the rubric.",H,neutral,high,KB01,"Most sign-up errors are caused by an email that is already registered or a verification email going to your spam folder. Please try using 'Forgot password' or check your spam. If neither fixes the issue, please contact support with a screenshot of the error.",True,1.62,2954,122,0,,
T048,Gemini 3.5 Flash-Lite,REFUND,Asking how to get or request a refund is a Medium priority task.,M,neutral,high,KB04,"Hello. You can request a refund by going to Settings > Billing > Invoices and clicking Request refund next to the relevant invoice, or by contacting support with your invoice number. Monthly plans can be refunded in full within 14 days of the charge, and annual plans within 30 days of purchase.",False,1.55,2954,131,0,,
T049,Gemini 3.5 Flash-Lite,ACCOUNT,"Customer needs to change account details, which is a medium priority task.",M,neutral,high,KB01,"You can update your name, email, and company details in Settings > Profile. Please note that email changes require confirmation from both your old and new address.",False,1.75,2949,99,0,,
T050,Gemini 3.5 Flash-Lite,FEEDBACK,Formal complaints are classified as High priority according to the rubric rules.,H,neutral,high,KB08,"You can submit a formal complaint at nimbuscrm.example/complaints or email complaints@nimbuscrm.example. Every complaint receives a reference number, an acknowledgement within 2 business days, and a written response within 10 business days.",True,1.74,2950,121,0,,
T001,Ministral 14B,PAYMENT,"Customer is frustrated (swearing) while asking about payment methods, bumping the base level (L) to M per the profanity rule.",M,frustrated,high,KB03,"Our accepted payment methods are Visa, Mastercard, American Express, and PayPal for all plans. Bank transfers are available only for annual plans of $5,000 or more. You can update your payment method in **Settings → Billing → Payment method**. If you’re still facing issues, let me know—I’ll escalate this for further help.",False,2.58,2922,164,0,,
T002,Ministral 14B,PAYMENT,"Question about payment methods (base L), no frustration or risk.",L,neutral,high,KB03,"Nimbus CRM accepts Visa, Mastercard, American Express, and PayPal for all plans. Bank transfers are available only for annual plans of $5,000 or more. Cheques and cryptocurrency are not supported. For help updating your payment method, visit **Settings → Billing → Payment method** in your account.",False,1.96,2920,140,0,,
T003,Ministral 14B,REFUND,Refund status or problem with something potentially wrong (refund not received or disputed).,H,neutral,high,KB04,"To check your refund status, log in to **Settings → Billing → Invoices** and look next to the relevant invoice. If the refund is approved but hasn’t arrived within **15 business days**, reply here with the invoice number so we can investigate. Refunds typically take **5–10 business days** after approval to reflect in your bank account.",True,2.59,2923,150,0,,
T004,Ministral 14B,CONTACT,"Customer is asking to talk to a human agent, which is a medium-priority request per the rubric.",M,neutral,high,KB07,"You can reach a live assistant by opening the chat widget in the bottom-right corner of the app and typing 'agent'. Live chat and phone support are available Monday–Friday, 8:00–20:00 (GMT). If you're outside these hours, your message will be converted to an email ticket and answered the next business day.",False,1.81,2921,151,0,,
T005,Ministral 14B,NEWSLETTER,Newsletter subscription/unsubscription is a courtesy request with no action needed urgently.,L,neutral,high,KB05,You can subscribe to the Nimbus newsletter by visiting **nimbuscrm.example/newsletter** or navigating to **Settings → Notifications → Newsletter** in your account. Let us know if you need further assistance!,False,1.82,2918,118,0,,
T006,Ministral 14B,NEWSLETTER,Information request with no action needed urgently (base level L).,L,neutral,high,KB05,You can unsubscribe from the Nimbus newsletter by clicking **Unsubscribe** at the bottom of any newsletter email or by turning it off in **Settings → Notifications → Newsletter**. Changes take effect within 48 hours. Unsubscribing won’t affect your account or billing emails.,False,1.76,2926,131,0,,
T007,Ministral 14B,ACCOUNT,"Customer is blocked from signing up, which fits the 'customer can't use the product' rule for High priority.",H,neutral,high,KB01,"I’m sorry to hear you’re having trouble signing up. Most issues are caused by an email already registered or the verification email landing in spam. Try using **Forgot password** or checking your spam folder. If the problem persists, reply with a screenshot of the error, and we’ll resolve it immediately.",True,2.09,2918,143,0,,
T008,Ministral 14B,REFUND,Asking about refund policy qualifies as a medium-priority ticket as it is not a blocked state or a refund status/problem.,M,neutral,high,KB04,"You can request a full refund for monthly plans within **14 days** of the charge or for annual plans within **30 days** of purchase. After these periods, annual plans are no longer eligible for a refund. For more details, visit **Settings → Billing → Invoices** or review our refund policy in KB04.",False,2.24,2924,153,0,,
T009,Ministral 14B,INVOICE,"Customer is requesting a specific invoice, which is a standard information request with no urgency or risk.",M,neutral,high,KB02,"You can view and download invoice #00108 in **Settings → Billing → Invoices**. If you’re unable to locate it, ensure you’re logged in as an admin or billing contact, as only these roles can access invoices. Let us know if you need further assistance!",False,1.67,2920,137,0,,
T010,Ministral 14B,CANCEL,"Asking about cancellation or early exit fees is a churn signal, even when phrased as 'just checking'.",H,neutral,high,KB06,The early exit fee for annual plans is 2 months of your plan’s price for all users if cancelled before the 12-month term. This fee is shown in **Settings → Billing → Cancel subscription** before confirmation. Monthly plans have no cancellation fee. Let me know if you’d like to discuss alternatives like downgrading.,True,1.91,2915,150,0,,
T011,Ministral 14B,CANCEL,"Asking about cancellation or early exit fees is a churn signal, even when phrased as 'just checking' (explicit rule).",H,neutral,high,KB06,The early exit fee for annual plans is 2 months of your plan’s price (for all users) if cancelled before the 12-month term. This is shown in **Settings → Billing → Cancel subscription** before you confirm. Monthly plans have no cancellation fee. Would you like help exploring alternatives like downgrading?,True,7.03,2921,153,0,,
T012,Ministral 14B,FEEDBACK,No urgency or risk; information request for leaving a review.,L,neutral,high,KB08,"You can leave a review or share product feedback directly in the app by navigating to **Help → Give feedback**. Alternatively, use the feedback form at [nimbuscrm.example/feedback](nimbuscrm.example/feedback). Your input is valuable and will be reviewed by our product team.",False,1.77,2920,129,0,,
T013,Ministral 14B,CANCEL,"Asking about cancellation or exit fees is a churn signal, even when phrased as 'just checking' (explicit rule).",H,neutral,high,KB06,"Your early exit fee for cancelling an annual plan is calculated as 2 months of your plan’s price for all users. This fee is shown in **Settings → Billing → Cancel subscription** before you confirm. If you’re considering downgrading instead, let us know—we can discuss options.",True,1.91,2918,147,0,,
T014,Ministral 14B,PAYMENT,"Customer is experiencing a payment issue, which blocks product access and risks account suspension after the 7-day grace period.",H,neutral,high,KB03,"I’m sorry to hear about the payment issue. Most payment failures are caused by an expired card, insufficient funds, or a bank blocking the charge. Please try updating your payment method in **Settings → Billing → Payment method** and click **Retry payment**. If the problem persists, contact your bank and retry. Your account remains fully active for 7 days after a failed payment.",True,2.28,2919,158,0,,
T015,Ministral 14B,PAYMENT,"Question about payment methods, no urgency or risk (base level).",L,neutral,high,KB03,"Nimbus CRM accepts Visa, Mastercard, American Express, and PayPal for all plans. Bank transfer (wire/ACH) is available only for annual plans of $5,000 or more. You can update your payment method in **Settings → Billing → Payment method**.",False,2.74,2923,132,0,,
T016,Ministral 14B,CANCEL,Asking about cancellation or exit fees is a churn signal (explicit rule).,H,neutral,high,KB06,"The early exit fee for annual plans is shown in **Settings → Billing → Cancel subscription** before you confirm. If you’re unsure about your plan type or fee, let me know—I’ll connect you with a specialist to clarify.",True,1.58,2921,122,0,,
T017,Ministral 14B,NEWSLETTER,Newsletter subscription is an information request with no action needed urgently.,L,neutral,high,KB05,You can subscribe to our monthly Nimbus newsletter by visiting **nimbuscrm.example/newsletter** or navigating to **Settings → Notifications → Newsletter** in your account. Let us know if you need further assistance!,False,2.07,2919,117,0,,
T018,Ministral 14B,CONTACT,Question about support hours is explicitly classified as Low priority per rubric rule v3/v4.,L,neutral,high,KB07,"Live chat and phone support are available **Monday–Friday, 8:00–20:00 (GMT)**. Email support (support@nimbuscrm.example) is answered 24/7, with a first reply within **4 business hours** for paid plans and **2 business days** for the Free plan. You can also open the chat widget in the app and type 'agent' to reach a human during live hours.",False,2.46,2923,169,0,,
T019,Ministral 14B,INVOICE,Customer needs to access an invoice but isn't blocked and nothing is at risk.,M,neutral,high,KB02,"You can download invoice #12588 in **Settings → Billing → Invoices**. If you’re not an admin or billing contact, ask your workspace admin to add you as one to view the invoice. Let us know if you need further help!",False,1.71,2923,127,0,,
T020,Ministral 14B,ACCOUNT,"Customer is attempting to create a new account, which is a core product functionality.",M,neutral,high,KB01,"To create a Gold account for your wife, she’ll need to sign up at **nimbuscrm.example/signup**. Gold plans start at **$25/user/month** and include advanced features. If she’s part of your existing workspace, you can also add her as a user in **Settings → Team → Invite user** (each user requires their own email). Let me know if you’d like help with either process!",False,1.91,2917,162,0,,
T021,Ministral 14B,CANCEL,"Asking about cancellation or exit fees is a churn signal, even when phrased as 'just checking' (explicit rule).",H,neutral,high,KB06,"Cancellation fees depend on your plan. For **monthly plans**, there is **no fee**—you can cancel anytime, and access continues until the end of the paid month. For **annual plans**, cancelling before the 12-month term incurs a **fee equal to 2 months of your plan’s price** (e.g., $50/user for Gold or $120/user for Platinum). The exact fee is shown in **Settings → Billing → Cancel subscription** before you confirm. Let me know your plan type if you’d like further details.",True,2.54,2914,204,0,,
T022,Ministral 14B,PAYMENT,"Customer is experiencing a payment issue, which could block access to the product if unresolved (7-day grace period before read-only mode).",H,neutral,high,KB03,"I’m sorry to hear about the payment issue. Most payment failures are caused by an expired card, insufficient funds, or a bank blocking the charge. Please update your payment method in **Settings → Billing → Payment method** or retry the payment directly in the app. If the problem persists, let me know the error message, and I’ll help investigate further.",True,1.87,2919,158,0,,
T023,Ministral 14B,REFUND,Asking about refund policy qualifies as a medium-priority request under the rubric (refund policy questions = M).,M,neutral,high,KB04,"Our refund policy is outlined in **KB04**. Monthly plans can be refunded in full within **14 days** of the charge, while annual plans qualify for a full refund within **30 days** of purchase. If you’d like to request a refund or need further clarification, let us know the invoice number, and we’ll assist you.",False,2.57,2919,155,0,,
T024,Ministral 14B,NEWSLETTER,No action needed urgently; information request about unsubscribing.,L,neutral,high,KB05,"You can unsubscribe from our newsletter by clicking **Unsubscribe** at the bottom of any newsletter email or by turning it off in **Settings → Notifications → Newsletter**. Changes take effect within 48 hours. If you still need help, let us know!",False,1.79,2921,125,0,,
T025,Ministral 14B,CONTACT,Question about support hours is a courtesy request with no action needed urgently (base L).,L,neutral,high,KB07,"Customer assistance is available via live chat and phone **Monday–Friday, 8:00–20:00 (GMT)**. Email support (support@nimbuscrm.example) is answered 24/7, with a first reply within **4 business hours** for paid plans and **2 business days** for the Free plan. For urgent help outside live hours, your chat message will be converted to an email ticket and addressed the next business day.",False,2.13,2920,171,0,,
T026,Ministral 14B,REFUND,Refund status or problem with a refund is a high-priority issue due to money at risk.,H,neutral,high,KB04,"You can check your refund status in **Settings → Billing → Invoices**, where the status is shown next to the relevant invoice. If the refund has not arrived 15 business days after approval, reply here with the invoice number for further assistance. Approved refunds typically take 5–10 business days to appear, depending on your bank.",True,1.98,2920,149,0,,
T027,Ministral 14B,ACCOUNT,"Customer is asking about account deletion, which is a churn signal even when phrased as a general question (explicit rule: any question about cancellation or deletion = H).",H,neutral,high,KB01,"Platinum accounts can only be deleted by the workspace admin in **Settings → Workspace → Delete workspace**. Deletion is blocked while an annual contract is active. Data is retained for 30 days, after which it is permanently deleted. If you’re facing issues, confirm you’re the admin and describe the error you’re seeing—we’ll assist immediately.",True,2.3,2917,165,0,,
T028,Ministral 14B,INVOICE,Customer needs to retrieve an invoice but is not blocked or at risk of churn.,M,neutral,high,KB02,"You can download invoice #12588 as a PDF in **Settings → Billing → Invoices**. If you don’t see it, ensure you’re logged in as an admin or billing contact, as only these roles can access invoices. Let us know if you need further assistance!",False,1.78,2919,134,0,,
T029,Ministral 14B,FEEDBACK,Formal complaint ('file a reclamation') qualifies as a high-priority ticket per the rubric.,H,neutral,high,KB08,"You can submit your reclamation directly at [nimbuscrm.example/complaints](https://nimbuscrm.example/complaints). Once submitted, you’ll receive a reference number and an acknowledgement within **2 business days**, followed by a written response within **10 business days**. If you’d like, I can also escalate this to our Head of Customer Experience for further review.",True,2.25,2921,160,0,,
T030,Ministral 14B,ACCOUNT,"Customer is attempting to sign up for a paid plan, which is a critical action for product access.",H,neutral,high,KB01,"To open a **Platinum** account for your daughter, she’ll need to sign up at [nimbuscrm.example/signup](https://nimbuscrm.example/signup) using her own email address. Platinum plans are billed at **$60/user/month** or **$540/year** (with 2 months free). If she encounters errors (e.g., email already registered or verification issues), she can reset her password or check spam—verification links expire after 24 hours. If problems persist, reply with a screenshot of the error, and we’ll assist further.",True,2.33,2921,203,0,,
T031,Ministral 14B,CANCEL,"Customer is asking about cancellation or early exit fees, which is a churn signal (explicit rule: 'Any question about cancellation, exit or early-termination fees = H').",H,neutral,high,KB06,"You can see the exact early exit fee in **Settings → Billing → Cancel subscription** before confirming cancellation. Annual plans incur a fee equal to 2 months of your plan’s price if cancelled before the 12-month term, but cancelling within the first 30 days is fee-free and fully refunded. Let me know if you’d like to discuss alternatives like downgrading.",True,1.98,2920,174,0,,
T032,Ministral 14B,CONTACT,Asking to talk to a person with no frustration signal (base level M).,M,neutral,high,KB07,"You can reach a live agent by opening the chat widget in the bottom-right corner of the app and typing 'agent' during our live support hours (Monday–Friday, 8:00–20:00 GMT). Platinum customers can also call their dedicated account manager. Outside these hours, your message will be converted to an email ticket and answered the next business day.",False,1.97,2920,151,0,,
